Title,Description
Senior Full-Stack Engineer (Vue or React + Python),"We are seeking a <b>Senior Full stack (React or Vue+Python) Engineer</b> who is passionate about revolutionizing the medical records industry.<br><br><b>What is a project idea?</b><br>Our client project aims to modernize the way medical records are handled and transferred. They are addressing the issue of outdated and inefficient practices in patient data management, which often involve fax machines and can lead to lost or delayed information, unnecessary reordering of tests, and even malpractice claims.<br><br>The solution is to digitize the transfer and release of patient data, providing a more reliable and secure method of handling this critical information. This digital approach is intended to improve patient outcomes by ensuring that all relevant health data is readily available when and where it’s needed.<br><br><b>Is there a legacy?</b><br>No<br><br><b>What is the team size and structure?</b><br><br>It’s a new project for our company, and already, we have 1 DevOps and 1 Senior Full-Stack Developer, plus a part-time Project Manager. We are planning to hire one more strong engineer. <br>From the client’s side, there will be at least 10 very strong software engineers from the heart of software development and innovation – San Francisco!<br><br>Communication and collaboration are key, while you will be able to communicate directly with the US team it is important to be ready to work during the US hours (Approximately 21:00-22:00 CET).<br> <br><b>How many stages of the interview are there?</b><br>– Interview with the Recruiter – up to 30 min.;<br>– Technical interview on our side – up to 1-1:30 h;<br>– Interview with the client.<br><br><b>Requirements</b><br>• 4+ years of working experience using Python;<br>• 4+ years React or Vue.js;<br>• Hands-on experience with Docker;<br>• Django or Flask;<br>• GraphQL or REST;<br>• SQL and NoSQL databases;<br>• An Upper-intermediate level of English.<br><br><b>Nice to have</b><br>• To be familiar with Celery/Workers.<br><br><b>Responsibilities</b><br>• Be ready to work with Research & Development tasks;<br>• Be ready to work during American working hours;<br>• Be ready to work using pair programming technique;<br>• Be ready to enforce best practices and improve test coverage;<br>• Have fun and make an impact while developing awesome and cool software;<br>• Take part in requirements analysis, task planning, estimation, coding;<br>• Suggest technical and functional improvements for the project;<br>• Maintain close collaboration with other team members (aka find some great new friends).<br><br><b>We offer</b><br>• No screenshots, bureaucracy; time logging for accounting only. We trust you!<br>• Quality workstations. Mostly we choose a Macbook so you will receive comfortable equipment for work or you can work on your own device;<br>• Dynamic environment with a low level of bureaucracy;<br>• Teambuildings, swag, corporate events and the team you will actually want to hang out with;<br>• Education program 100 — we provide $100 per year for education;<br>• Mentorship program (get a mentor or become one);<br>English Lessons with 6-month review process (speaking and writing classes);<br>• Refunding certification expenses;<br>• Corporate Udemy account, where any employee can request any course free of charge;<br>• 20 days of paid annual vacation;<br>• 15 days of paid sick leaves;<br>• Possibility to use vacation during probation;<br>• Days off on all Ukrainian government holidays;<br>• Social package, including medical compensation or sports compensation or psychological training sessions;<br>• Overtime is not welcome. Ralabs always emphasizes that we are working to provide work-life balance for employees;<br>• We work in a completely white field, and the salary is paid to the card in euros or dollars every first week of the month."
Staff Software Engineer,"We are looking for a Staff Software Engineer who is passionate about language transpilers and system programming, including parsing, semantic analysis, abstract syntax trees (AST) and code generation. The ideal candidate should have a strong desire to explore innovative approaches to solving complex software problems and be comfortable working in a fast-paced environment. If you are excited about developing cutting-edge technologies to change the way enterprises interact with their data, you might be the perfect fit for our team.<br><br>The client is rapidly growing advanced analytics, marketing technology, and data management consulting firm.<br><br>Project – is a complete solution for automating the migration of your analytical SAS environment to the best modern analytics platforms built with support for open-source standards from the ground up.<br><br>Requirements:<br><br>Proficiency in programming languages such as C, C++, Python, Rust, etc.<br>Strong understanding of computer architecture and low-level programming concepts<br>Knowledge of compiler design principles and techniques<br>Experience with embedded systems development and hardware interaction<br>Solid understanding of code transpiler theory, data structures, and algorithms<br>Familiarity with tools like LLVM for optimization and code generation<br>Sizable open-source contributions are a big plus<br>Upper-Intermediate English and better<br><br>Responsibilities:<br>As a Staff Software Engineer, you will be working shoulder to shoulder with the CTO. Your responsibilities include but are not limited to:<br>Architecting, designing, and implementing product's software system<br>Collaborating with the CTO to formulate the strategic technical direction and system architecture for company's software solutions<br>Writing good, maintainable and performant Python code. Python code- based is strictly typed (enforced by mypy), you should subscribe to this idea<br>Reviewing code written in Python, TypeScript, and React for backend and frontend, providing constructive feedback to the team<br>Assisting in the identification, isolation, resolution, and communication of problems within the customer environments<br>Driving architecture discussions, regularly proposing and discussing solutions to system and product changes that are directly tied to engineering<br>Participating in all aspects of the software development process, including design, development, testing, code review, integration, and deployment activities<br><br>We offer:<br>Competitive salary with the regular review<br>Flexible working schedule, fully remote work opportunities<br>Accountant assistance<br>Vacation (up to 20 working days)<br>Paid sick leaves (10 working days)<br>Online English courses<br>Direct cooperation with the customer<br>Teambuildings, corporate parties and company trips abroad<br>Great working environment and team spirit"
Senior Python Backend Engineer (non-web development),"Drive-thru restaurants have employees multi-task by taking orders, packing food, taking payments, and more. This translates to long wait times and extremely high stress for employees. Currently, the restaurants are experiencing a major hiring crisis due to this extreme stress and increasing minimum wage.<br>Most quick-service restaurants had begun to search for a more elegant solution that improves customer experience, increases speed, accuracy, average ticket size, and reduces employee stress.<br>Our AI greets the customer, takes the order, and inserts it into the point of sale freeing up the employees to focus on other tasks.<br>Understanding an order in the drive-thru using voice is not an easy task and requires deep technology to get to the required high completion rate of orders. The challenges include a very noisy environment, unique speech patterns due to the customer's indecisiveness, different accents, gender, ages, speech from other people in the car, complex multi-turn unstructured conversation, low latency, and more. In order to solve big challenges, we are developing our own speech and natural language understanding tech from the ground up.<br><br>We are a group of experts in Speech, NLU, and Backend SW. We strongly believe in impact-driven employment where you can work from wherever you're most comfortable and effective. Because of the myriad of challenges and the fast pace, each team member gets to experience a lot of professional growth and ownership.<br><br>About the Role & Responsibilities:<br>- Our backend is developed all in Python running in the cloud over k8s.<br>- It's not a typical backend interacting with a UI frontend. It handles audio streams in real-time and runs our key AI algorithms.<br>- The role involves designing and implementing complex parts of the backend. This involves distributed architecture as well as concurrency while taking into consideration performance and scale.<br><br>Requirements<br>- 5+ years experience in Python<br>- Experience in SW design and backend dev<br>- Developed and deployed multiple projects used in production<br>- Experience with Docker, Kubernetes, Microservices, CI/CD, Clouds (AWS/GCP/Azure)<br>- experience with async IO, threading, or concurrent programming<br>- deep control of Python 3 and its standard library.<br><br><br>Preferred Qualifications:<br>- Experience with real-time audio processing<br><br>Interview process:<br>- Short intro (20 min)<br>- Live Coding Exercise ( 3 hours)<br>- Technical Interview (1.5 hours)"
Senior Python Developer (FastAPI),"We are seeking a talented Senior Backend Python Developer to join our team. In this role, you will be responsible for designing and developing APIs, building microservices, deploying services in Google Cloud, and organizing CI/CD processes. The ideal candidate will have a strong background in Python development and experience with the specified tech stack.<br><br><b>REQUIREMENTS:</b><br>- Strong proficiency in Python programming language;<br>- Experience in designing and developing APIs, preferably using FastAPI;<br>- Solid knowledge of microservice architecture and design patterns;<br>- Proficiency in working with databases such as Postgres, Redis, and MySQL;<br>- Experience with containerization using Docker and Docker Compose;<br>- Familiarity with Google Cloud Platform, including deployment and management of services;<br>- Strong understanding of CI/CD processes and tools.<br><br><b>A PLUS:</b><br>- Worked with Google Kubernetes Engine;<br>- Knowledge of Lex-Yacc Parser and Linux will be advantageous;<br>- Familiarity with Google Kubernetes Engine (GKE) is a plus;<br>- Excellent problem-solving and debugging skills;<br>- Strong communication and collaboration skills to work effectively in a team environment.<br><br><b>RESPONSIBILITIES:</b><br>- Designing and implementing robust and scalable APIs for our conversational AI Assistants and Intelligent Agents;<br>- Developing microservices using Python, FastAPI, Gunicorn, and other relevant technologies;<br>- Deploying services on the Google Cloud platform, utilizing the Google Cloud CLI;<br>- Ensuring seamless integration of Intelligent Agents with corporate ERPs, CRMs, and knowledge bases;<br>- Collaborating with cross-functional teams to understand business requirements and translate them into technical solutions;<br>- Writing clean, maintainable, and efficient code that follows best practices;<br>- Organizing CI/CD processes to enable smooth and automated deployments;<br>- Collaborating with DevOps and infrastructure teams to optimize the deployment pipeline;<br>- Conducting code reviews and providing constructive feedback to team members;<br>- Staying updated with the latest industry trends and technologies to drive innovation within the company."
Tech Lead (Python),"До команди MEGOGO шукаємо Tech Lead'a для розробки нового продукту. <br><br><b>Необхідні знання та навички:</b><br>- 7+ років досвіду комерційної розробки, з них останні 3+ на Python<br>- досвід проектування та реалізації проектів з навантаженням 10000/rps<br>- досвід розробки в Docker/Kubernetes оточенні<br>- навички побудови CI/CD Pipeline’ів<br>- розуміння й підтримка культури production-рішень: налаштування Logging, Monitoring, Alerting, а також визначення і забезпечення SLA<br>- впевнені знання теорії реляційних баз даних та досвід роботи з великими обсягами даних в MySQL/PostgreSQL<br>- досвід роботи з MongoDB або аналогічними документ-орієнтованими базами даних<br>- досвід роботи в проектах з Agile моделлю управління<br><br><b>Буде плюсом:</b><br>- досвід в e-commerce проектах<br>- досвід роботи в проектах з saleor.io<br><br><b>Основні обов'язки:</b><br>- аналіз вимог<br>- формування пропозицій по архітектурі проекта<br>- вибір і аргументація прийняття технічних рішень<br>- реалізація прийнятих технічних рішень<br>- менторство учасників команди<br>- відповідальність за якість виконання реалізацій вимог командою<br><br><b>Що ми пропонуємо:</b><br>- роботу в стабільній компанії — адже ми понад 10 років на ринку;<br>- дійсно цікаві завдання: бери участь у створенні медіасервісу майбутнього;<br>- відносини, побудовані на довірі;<br>- багато можливостей для розвитку;<br>- безкоштовні уроки англійської мови;<br>- заняття з плавання, а також уроки настольного тенісу;<br>- корпоративного психолога;<br>- для співробітників компанії знижки від брендів партнерів.<br><br>Відчуваєш, що твої навички відповідають вимогам? Хочеш стати частиною нашої команди? Швидше надсилай своє резюме!<br><br>Відповідаючи на вакансію і надіславши своє резюме в Компанію (ТОВ «МЕГОГО»), зареєстровану й діючу відповідно до законодавства України, реєстраційний номер 38347009, адреса: Україна, 01011, місто Київ, вул.Рибальська, будинок 22 (далі «Компанія»), ви підтверджуєте та погоджуєтеся з тим, що Компанія обробляє ваші особисті дані, представлені у вашому резюме, відповідно до Закону України «Про захист персональних даних» та правил GDPR."
Python Voice Application Developer Senior,"Work will include developing voice applications using existing services to interface with proprietary systems. You will be working in a team of two to adapt and add to Neon AI's existing open-source voice assistant, to fulfill another company's project. That project is confidential, and a non-disclosure agreement will be required. You can learn more about the existing project you'll be adapting and building on through these links: <br><br>Description on the Neon AI Website: https://neon.ai/<br>Documentation: https://neongeckocom.github.io/neon-docs/neon_core/  <br>GitHub Repositories: https://github.com/NeonGeckoCom  <br><br>A specification document has been produced for the project, and the Neon AI development team will be available to provide coaching and answer questions on the use of their open-source software. This is phase 1 of a potentially much larger project, and we expect it to take 160-220 hours of work from the team, or about 5 weeks total. We are looking for candidates with the base skills and experience listed, who are excited about learning to use Neon AI's voice application and services. Phase 1 of this project should provide only a modest challenge for anyone with those competencies, making it a perfect place to start. We anticipate candidates will need 20-40 hours to familiarize themselves with the existing voice application and services before getting going on the project and will pay for that time. Ideal candidates for this team will be interested in staying with the project past phase 1, using the skills and knowledge base they've acquired to implement more ambitious future project goals. <br><br>This is a project with defined goals and a high priority on meeting deadlines, in a supportive working environment. It is a great opportunity to add to your skills and experience working with voice applications, and one which will likely lead to a longer-term position. <br><br>Voice Application Developer Recruitment Criteria<br><br>General Qualifications:<br><br>Strong technical skills<br><br>Strong project management skills<br><br>Strong self-management skills<br><br>Problem solving skills<br><br>Available for long term project<br><br>Experience working with:<br><br>GitHub<br><br>Linux dev environment (local)<br><br>Python<br><br>Docker & Kubernetes container platforms<br><br>Cloud services / connections<br><br>Preference for background in:<br><br>Speech recognition technology<br><br>Voice processing<br><br>Open Source<br><br>Linguistics / formal languages / language parsing / RegEx"
Python ai/ml Developer,This is a remote position.<br><br>Mindecs is a trusted software engineering partner. We are looking for a Python Developer with good communication skills in English to join one of our teams. You will become part of a team of professionals who make a big contribution to solving problems for business clients.<br><br>Requirements:<br>- 3+ years of experience in Python <br>- Experience with/desire to work in ai/ml (artificial intelligence/ machine learning)<br><br>Benefits:<br>- Competitive compensation depending on the level of expertise<br>- Individual career path in engineering<br>- Opportunity to work remotely<br>- Flexible working hours
Principal Software Engineer,"Role Overview:<br><br>We are looking for a Principal Software Engineer to lead our technology team. The successful candidate will be responsible for overseeing all technical aspects and technological resources of the company for the purpose of organisational growth. They will establish a technological vision for the company and lead the company's technological development.<br><br>Responsibilities:<br><br>Lead the strategy for technology platforms, partnerships, and external relationships.<br><br>Oversee all system design and changes in system architecture.<br><br>Manage the engineering team, hiring and mentoring top-notch engineers.<br><br>Develop and implement all internal communication systems, such as the company-wide email system.<br><br>Evaluate and implement new systems and infrastructure as the company grows.<br><br>Manage and optimize infrastructure assets to satisfy internal financial targets.<br><br>Preserve assets by implementing disaster recovery and backup procedures and information security and control structures.<br><br>Requirements:<br><br>BSc/BA in Computer Science, Engineering or a related field;<br><br>Experience working within the Marketing Technology space (MarTech), with a great understanding of the industry and platforms<br><br>Proven experience as the most senior Engineer (ideally EM, VP Engineering or CTO) within an IT company (ideally a fast-growing startup)<br><br>Extensive Experience with Python (5 years +) and ideally React, as well as other modern technologies and tech stacks<br><br>Able to lead on all technical decisions within the business and help any technical query<br><br>Experience overseeing and leading technical decisions across a whole product/application<br><br>Deep expertise of architecture principles <br><br>Track record of playing a key part in a Engineering Department evolution, being involved in strategic decisions around growth  <br><br>Knowledge of technological trends to build the company's strategy<br><br>Strong communication skills and the ability to work well with a team<br><br>Comfortable with high-level strategic planning as well as tactical daily execution<br><br>Ability to conduct technical analysis and research<br><br>Excellent leadership and organizational skills<br><br><br>We are  a fast-growing digital marketing platform specialising in providing businesses with a comprehensive toolkit for managing their marketing campaigns across multiple platforms. Our suite of tools includes interactive asset creation, automatic data transfers, data insights, campaign creation, and ROI calculation."
Python Developer for Visual Intelligence Company,"Full time, remote<br>Preferred Locations: Central and Eastern European countries, especially Poland.<br>General requirements: Backend development expertise in Python as outlined in the job description. Extensive knowledge of AWS and CI/CD is imperative.<br>Team Dynamics: Currently at 5 members, with plans for expansion.<br>Reporting Structure: Directly to the CTO.<br><br>Interview process:<br>  1. Interview, might involve a brief technical challenge).<br>  2. Interview with two team members, potentially with a short technical task).<br><br>The company is a forward-thinking SaaS company, supported by prominent venture capital, focusing on the supply chain industry's requirement for enhanced inventory visibility via its advanced computer vision technology. Our system is adept at providing near-real-time tracking and analytics, setting a new standard in inventory management, and reducing supply chain discrepancies. Our tailored SaaS Business Intelligence solution integrates effortlessly with existing camera infrastructure in logistics facilities. Drawing data from diverse sources, our system yields deep insights, establishing itself as the ultimate source of clarity for inventory and supply chain data. We're on a mission to redefine the landscape of supply chain management!<br><br>Position Details:<br><br>Joining our A-team as a Senior Python Backend Developer means:<br>End-to-end ownership (from design to deployment) of new and existing components, prototypes, services, and features.<br>Take part in building the R&D department’s processes and workflow<br>Share your expertise among the team and become a mentor for new teammates.<br><br><br>Essential Requirements<br><br>Engineering degree in Computer Sciences/Software<br>5+ years of experience in Python.<br>At least 3 years of experience with AWS, cloud deployments, DevOps, and web security<br>Experience with  RESTful APIs and server-side API integration<br>Knowledge of MongoDB, SQL, and Data Modeling<br>Experience with video processing - advantage<br><br>Soft Skills Requirements:<br>Excellent communication skills, both oral and written.<br>Experience with startups or product companies.<br>Capacity to thrive in a compact core team where each member holds significant responsibility.<br>Have a strong sense of ownership"
Senior Python Developer,"We are looking for a Senior Python Developer in a Medical Research Environment.<br><br>The team consists of highly motivated scientists and ML engineers who work on cutting-edge laser spectroscopy, utilizing proprietary hardware to analyze blood.<br><br>Tech Stack: Python, Prefect, GCP (Storage, BigQuery, Cloud Functions, Docker).<br><br>What will make you successful:<br>-   Ability to write clean, solid code along with unit testing. A flair for designing clean and reusable (pip) libraries;<br>-   Experience with Prefect (or other similar tools like Airflow);<br>-   Knowledge of GCP will be a plus;<br>-   Spoken and written English.<br><br>About the Project:<br>Biologists, researchers, and ML engineers have written a significant amount of code to process data generated by medical equipment and experiments. It's more than just simple ETL; it can also involve sophisticated calculations, such as filtering out laser beam frequencies from data. <br><br>What we expect from you:<br>Over the first 2-3 months, you will be expected to refactor/write this code and introduce a local pip package management system.<br>After that, we will start new data pipelines and projects."
