Title,Description
Python Developer for US Startup,"We are seeking a Python Developer to build functional and efficient server-side applications. The Python Developer's responsibilities include participating in all phases of the SDLC. We want to meet you if you’re a seasoned developer who loves back-end technologies and building fast scalable RESTful APIs. Your ultimate goal is to create high-quality, maintainable, tested, production ready code and software products.<br><br>What you’ll need to be successful:<br>- Solid experience as a Python Developer<br>- Experience with Python frameworks (e.g., Django, Flask, Bottle)<br>-- Preference given to Django and Django REST Framework<br>- Familiarity with Amazon Web Services (AWS) and their API / SDK<br>- Understanding of databases and SQL<br>-- Preference given to PostgreSQL<br>- Attention to detail<br>- Strong communication<br>- Self starter and internally motivated<br>- Track record of successfully working remotely<br><br>About Ravel<br>We’re a US-based startup that provides B2B complies insights into their prospect base. Check us out at ravel.com."
"Senior FullStack Developer (React,TypeScript and Python)","We are looking for an experienced Senior Fullstack Developer who would like to work in a cybersecurity project. <br><br>Project <br>The project specializes in keeping industrial and other physical devices secure. Clients all over the world use our platform to protect their software from cyber risks. <br><br>Responsibilities: <br><br>- Collaborate with product management and design teams to transform requirements and Figma mockups into visually appealing, interactive front-end interfaces. <br>- Develop high-quality, scalable, and reusable code to ensure efficient and seamless user experiences. <br>- Review code and provide valuable feedback to ensure code quality and maintain best practices. <br>- Work closely with backend developers and quality assurance teams to integrate and test front-end components effectively. <br>- Contribute to the enhancement of development processes and methodologies within the team. <br><br><br>Required Skills/Experience: <br><br>Front-End Requirements: <br><br>- 5+ years experience as a software engineer <br><br>- Proficiency in Frontend Engineering using React and TypeScript <br><br>- Strong knowledge of RESTful APIs and integrating front-end interfaces with back-end systems <br><br>- Proven track record as a Front-end Developer, with a focus on building complex web applications <br><br>Backend Requirements: <br><br>- 4+ years experience with Python (commercial use) <br><br>- Proficiency in web development with Flask and related frameworks <br><br>- Strong knowledge of SQL (Postgres preferred) and experience with ORM technologies like SqlAlchemy, DjangoORM, etc <br><br>- Git proficiency for version control <br><br>- Familiarity with Docker for containerization <br><br>Nice to have: <br><br>- Experience with clouds (AWS, Azure) <br><br>- Familiarity with Kubernetes <br><br>Perks & benefits: <br><br>- Remote work and flexible working hours <br><br>- Experienced international team <br><br>- Competitive salary reflecting your experience <br><br>- 20 paid work days of annual leave, plus sick leave <br><br>- Medical insurance or compensation for sports (after probation period has finished) <br><br>- Career development and professional growth <br><br>- Free corporate English lessons with a native speaker <br><br>- Powerful equipment provided (laptop and accessories) <br><br>- If you are interested in this position, please send us your detailed CV. <br><br>Apriorit – A Priority Choice!"
Senior Python Developer,"<b>What are we doing?</b><br>Develux is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on the market since 2014 and has achieved perfect results in our four business units. We have 350+ goal-oriented, passionate specialists who are open to new challenges.<br><br>Now we are looking for a <b>Senior Python Developer</b> for our outstaffing project.<br><br><b>About the project: </b><br>Industry: Financial Services<br>Client is a modern financial platform designed for the 21st-century economy, tailored to meet the unique needs of today’s consumers and small businesses (freelancers, solopreneurs and modern SMBs). They believe beauty lies in simplicity, from design to utility, and build our ever-growing product suite with this in mind. Client is focused on lifting up those who dare to push boundaries and redefine what’s possible by delivering on our promise to be a more fair financial partner. The next generation building the future is writing their own rules and shattering expectations.<br><br><b>What you’ll do:</b><br>- Participate in the entire product development lifecycle, with a focus on coding and debugging;<br>- Collaborate with Front-end developer teams for the best integration of user-facing logic with the server side;<br>- Build clean and reusable code based on cutting-edge technologies to drive the product forward in terms of reliability, performance, quality;<br>- Think of and facilitate QA processes as much as possible;<br>- Gather and address technical requirements and problems.<br><br><b>About you:</b><br>- 5 years of experience as a Python developer in a huge product (customers product or infrastructure teams is a preference);<br>- Expert knowledge of frameworks Django, Flask or Pyramid, etc.;<br>- A deep understanding and multi-process architecture and the threading limitations of Python;<br>- Ability to integrate multiple data sources into a single system;<br>- Experience in testing your own code;<br>- Ability to collaborate on projects and work independently when required;<br>- Experience in building server APIs to communicate with mobile applications;<br>- English B2/C1 (Upper-intermediate/Advanced).<br><br><b>Questions and Answers:</b><br>- Does the job come with a probation period, and if so, how long does it last?<br>Yes, there is a 3-month probation period.<br><br>- What is the expected work schedule?<br>Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.<br><br>- How many vacation and sick days are provided?<br>Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.<br><br>What social package and benefits are offered?<br>- English courses (up to 80 USD/month after successfully completing the probation period).<br>- Compensation for the cost of a subscription sports center (up to 80 USD/month after successfully completing the probation period).<br>- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care.<br>- Corporate events.<br><br><b>Hiring process:</b><br>- Screening call with our recruiter<br>- Technical interview<br>- Screening call with client<br>- Screening call with Head of outsource<br>- Proposal for cooperation with Develux<br><br>We believe that people with different perspectives and lived experiences drive the company to create unique solutions."
Odoo Developer (Middle/Senior),"Про проект: розробка програмного продукту корпоративного рівня на базі ERP системи Odoo, яка швидко набирає популярності та базується на прогресивному й гнучкому власному фреймворкі.<br><br>Вимоги:<br>Досвід роботи з ERP Оdoo<br>Робота з багатопотоковими процесами на Python<br>Робота з інтеграціями через API: RESTful, RPC<br>Досвід роботи: з PostgreSQL<br>XML, HTML, CSS, Bootstrap<br>GIT<br>Написання Unit тестів<br>Розуміння процесів CI/CD<br>Бажано:<br>Досвід роботи з: JS<br>Docker<br>Unix bash<br><br>Ми пропонуємо:<br>- Офіційне працевлаштування та соціальні гарантії згідно КЗпПУ;<br>- Участь в розвитку цікавого, конкурентного продукту та участь в запуску міжнародних проектів в команді професіоналів."
Python/Odoo Developer,"Ми шукаємо кваліфікованого Python розробника, який має досвід роботи з Odoo ERP. Якщо ви є програмістом на Python та маєте досвід в розробці системі управління підприємством Odoo, то ця вакансія може бути для вас ідеальною.<br><br>Основні обов'язки:<br><br>-- Розробка та налагодження рішень в системі управління підприємством Odoo, включаючи модулі, звіти та інтеграції.<br>-- Створення та оптимізація баз даних, розробка нових функціональностей та забезпечення їх сумісності з існуючими модулями Odoo.<br>-- Тестування, рецензування та оптимізація існуючих кодових рішень.<br>-- Підтримка та надання консультацій іншим членам команди щодо Odoo ERP.<br><br><br>Вимоги:<br><br>-- Досвід розробки на Python, бажано від 2 років.<br>-- Знання та досвід роботи з систмеою управління підприємством Odoo.<br>-- Вища освіта в галузі ІТ або суміжній галузі.<br>-- Розуміння баз даних та SQL.<br><br>Вміння працювати в команді та гарні комунікативні навички.<br><br> <br>Ми пропонуємо конкурентну заробітну плату, можливість професійного зростання та розвитку в компанії з великим потенціалом. Якщо ви готові взяти на себе цей виклик і розвивати рішення в системі Odoo ERP, надішліть своє резюме нам."
Senior  Python Developer Outstaff,"Wht.agency - аутсорсингова ІТ компанія, що працює з 2018 року та спеціалізується на розробці веб-сайтів та програмного забезпечення для міжнародних клієнтів.<br><br>Зараз ми розширюємо відділ аутстаффінгу та шукаємо Middle Python розробників для майбутньої взаємодії.<br><br>Приблизний пул обов'язків на проектах, може змінюватися в залежності від проекту:<br><br>Розробка та оптимізація бекенду веб-додатків на Python/Django.<br>Створення REST API на Python з використанням Django або Flask.<br>Інтеграція з базами даних (PostgreSQL, MongoDB тощо).<br>Написання Unit тестів та інтеграційних тестів.<br>Участь у code review та оптимізації існуючого коду.<br>Дотримання принципів чистого коду та патернів проектування.<br>Дебагінг та профілювання програм для оптимізації продуктивності.<br>Документування коду та API.<br>Співпраця з фронтенд розробниками над інтеграцією.<br>Дослідження та впровадження нових технологій і бібліотек.<br>Дотримання процесів контролю версій (Git).<br>Виконання завдань відповідно до вимог та термінів.<br><br>Який досвід та навички ми очікуємо:<br><br>Щонайменше від 4 років досвіду роботи з Python та веб-фреймворками (Django/Flask).<br>Ґрунтовний досвід проектування та розробки REST API.<br>Досвід роботи з різними базами даних (PostgreSQL, MySQL, MongoDB тощо).<br>Досвід проектування схем баз даних, оптимізації запитів.<br>Знання принципів и шаблонів проектування (SOLID, MVC, MVP тощо).<br>Високий рівень володіння Git, робота з командою над проектами.<br>Досвід написання юніт-тестів, TDD, CI/CD.<br>Вміння налагоджувати, профілювати та оптимізувати код.<br>Здатність приймати самостійні технічні рішення.<br>Лідерські якості, вміння керувати проектами та командою.<br>Відмінний рівень англійської мови.<br>Бажання ділитися знаннями та підвищувати кваліфікацію."
Middle Python Developer Outstaff,"Wht.agency - аутсорсингова ІТ компанія, що працює з 2018 року та спеціалізується на розробці веб-сайтів та програмного забезпечення для міжнародних клієнтів.<br><br>Зараз ми розширюємо відділ аутстаффінгу та шукаємо Middle Python розробників для майбутньої взаємодії.<br><br>Приблизний пул обов'язків на проектах, може змінюватися в залежності від проекту:<br><br>Розробка та оптимізація бекенду веб-додатків на Python/Django.<br>Створення REST API на Python з використанням Django або Flask.<br>Інтеграція з базами даних (PostgreSQL, MongoDB тощо).<br>Написання Unit тестів та інтеграційних тестів.<br>Участь у code review та оптимізації існуючого коду.<br>Дотримання принципів чистого коду та патернів проектування.<br>Дебагінг та профілювання програм для оптимізації продуктивності.<br>Документування коду та API.<br>Співпраця з фронтенд розробниками над інтеграцією.<br>Дослідження та впровадження нових технологій і бібліотек.<br>Дотримання процесів контролю версій (Git).<br>Виконання завдань відповідно до вимог та термінів.<br><br>Який досвід та навички ми очікуємо:<br><br>Мінімум 2,5 роки досвіду роботи з Python та одним з популярних веб-фреймворків (Django/Flask).<br>Досвід роботи з REST API, розуміння принципів HTTP.<br>Досвід інтеграції з реляційними (SQLite, PostgreSQL тощо) та нереляційними (MongoDB, Redis тощо) базами даних.<br>Вміння писати юніт-тести, розуміння концепції TDD.<br>Використання системи контролю версій Git.<br>Знання об'єктно-орієнтованого програмування, структур даних та алгоритмів.<br>Аналітичне мислення, навички налагодження та профілювання коду.<br>Гарний рівень англійської мови (читання технічної документації).<br>Уміння працювати в команді, брати відповідальність за свою частину проекту.<br>Прагнення писати чистий, читабельний, оптимізований код."
Python (Flask) Developer,"We are looking for a highly experienced Python developer who can become a part of an already existing solid team of professionals.<br><br>- 4+ years of experience with Python;<br>- Experience with Flask;<br>- Good knowledge of OOP/OOD;<br>- Experience in writing unit tests;<br>- Experience in designing API’s;<br>- Hands-on experience with Docker, docker-compose, Redis;<br>- Experience in MongoDB aggregation queries;<br>- Excellent teamwork skills are an absolute must;<br>- Intermediate English Level.<br><br>We offer:<br><br>- Stable and on schedule salary;<br>- Paid vacation, sick leave;<br>- Flexible work schedule;<br>- Corporate English lessons;<br>- Conference, seminar, and training attendance at the expense of the company;<br>- Internal library usage and the ability to fill it with any book you need;<br>- Coffee/tea, cookies, fruits in free mode;<br>- Corporate parties, team buildings;<br>- Boundless opportunities for career and professional growth."
Strong Senior Python developer,"<b>About the project </b><br><br>Artificial intelligence is the steam engine of the fourth industrial revolution with a significant impact on all our lives. However, modern AI algorithms are powerful but dangerous black boxes that can cause significant financial and physical harm. Apple’s credit card which has been investigated for discriminating against women, Microsoft’s chatbot that reportedly made racist tweets, or Tesla’s autopilot which was reported to cause crashes are just examples of recent AI incidents. Making algorithmic decision-making transparent and accountable is, therefore, a fundamental prerequisite for future-proof organizations.<br><br>Our international team of machine learning researchers, engineers, and business minds has built AI systems for leading organizations and published at top-tier academic venues. <br><br>We enable society for a safe and self-determined co-existence with intelligent machines.<br><br><b>Your main responsibilities</b>:<br>Develop, document, and test backend software<br>Contribute to architecture decisions and perform code reviews<br>Create, review and optimize database operations in the applications<br>Collaborate with other engineers, product manager, and UI/UX designer across the organization.<br>Act as a technical advisor and think creatively of solutions to problems arising in practice<br><br><b>Your preferred qualifications</b>:<br>- Proven 4+ years of experience as a Python Backend Engineer.<br>- Experience in working with backend frameworks, such as Django, Flask or FastAPI<br>- Experience in developing REST/GraphQL API’s<br>- Solid knowledge of relational databases (PostgreSQL) and NoSQL databases<br>- Experience in running code in the cloud (GCP/AWS) and containerizing applications using Docker<br>- Good knowledge of clean coding, test-driven development, and CI/CD principles<br>- Good communication skills in English, both spoken and written<br><b>English B2+</b><br>Bonus (any of):<br>Experience in software engineering of larger projects, preferably B2B or SaaS products.<br>Experience working in the domain of machine/deep learning or risks management<br>Experience with IaC(Terraform)"
Middle Fullstack (Python+React) Developer,"<b>Шукаємо Middle Fullstack (Python+React) Developer, який приєднається до розробки маркетплейсу та CMS для продажів антикваріату 🔥</b><br><br>COAX Software — аутсорсингова компанія. Творимо у сферах e-commerce, fintech, real estate, legal, travel на ринках Європи, США, Британії та інших країн. Працюємо тільки над цікавими й справді актуальними продуктами!<br><br>Що потрібно для цього мати?<br><b>По Python:</b><br>- <b>від 2-х років комерційного досвіду з Python та Django;</b><br>- хороший досвід з PostgreSQL;<br>- впевнені скіли з Elasticsearch, Redis;<br>- навички з дизайну і побудови RESTful APIs і розуміння API;<br>- потужний рівень unit, loading тестування і фіксу багів ;)<br><br><b>По React:</b><br>- <b>рівень Strong Junior/Middle з комерційним досвідом від року</b>;<br>- досвід з Redux+Saga, Next JS (with SSG flow knowledge).<br><br><b>Плюсом для вас по Python і React буде:</b><br>- знання DRF/Celery, Scrapy та Stripe API, event-driven кодингу у Python;<br>- розуміння multi-process архітектури;<br>- досвід з забезпеченням інтеграції з frontend-додатками;<br>- знання Node.js, Webpack (ability to read/update config file) чи SEO + SSR (with loadable components) knowledge і Web Vitals також можуть стати в нагоді ;)<br><br><b>Важливо — рівень англійської — від В1+.</b><br><br><b>Задачі на позиції:</b><br>- проводити рісьорчі, аналізувати та пропонувати рішення для виправлення технічних та функціональних помилок й імплементувати ці рішення;<br>- естімейтити обсяг роботи, необхідний для задач на проєкті;<br>- підтримувати коду, документація, рефакторинг;<br>- робити базове тестування коду;<br>вивчати бізнес та структуру проєкту, передавати знання команді, переписуючи продукт;<br>- щоденні мітинги з клієнтами.<br><br>Команда проєкту: BE, FE, QA, QC, PM, DE, DO.<br><br><b>Етапи рекрутингу:</b><br>- інтервʼю з рекрутером COAX щодо організаційних моментів;<br>- технічне інтервʼю на годину часу;<br>- System Design Challenge для розуміння того, як ви комунікуєте з клієнтом та приймаєте рішення, на 1-1,5 години;<br>- фінальне інтервʼю на 30 хв з ко-фаундерами компанії, щоб познайомитись краще ;)<br><br><b>Що пропонуємо:</b><br>- щопіврічні перегляди ЗП по закінченню PDP;<br>- справді гнучкий графік: головне — бути присутнім на мітах і підтримувати зв’язок з командою. А як ви розкидаєте решту робочих годин — справа ваша;<br>- усі тулзи для роботи та wiki-база курсів, щоб прокачатись технічно;<br>- відкриті до нових ідей та думок менеджери;<br>- без бюрократії: є проблема? Стукайте у двері руми C-lvl і скажіть про це. Ми за відкритість і швидке вирішення кейсів;<br>- медичне страхування, соц. пакет;<br>- англійська, забезпечення технікою — усі ці звичні речі та набагато більше)"
Senior Full Stack Developer (React + Python),"We are looking for a Senior Full Stack developer with at least 6 years of experience. This is a great opportunity for you to work with cutting-edge technology in a team of talented developers.<br><br>Our Tech Stack<br>Frontend: React JS, TypeScript<br>Backend: Python, Django, PostgreSQL, AWS<br>Others: GitHub, Jira, Notion<br><br>Responsibilities<br>* Develop HR-based web application<br>* Integrate with HR systems like UKG and ADP<br>* Actively participate in the testing process including unit testing, integration testing as well as E2E and manual testing. <br>* Ensure high speed and stability of the system<br><br>Requirements<br>* At least 6 years of experience in software development<br>* 3 years of experience in Python and Django<br>You have a good understanding of various aspects, including the multithreading, garbage collector (GC), and other related details.<br>* 3 years of experience in React JS<br>You know React JS concepts, routing, tools, and best practices.<br>* Code design proficiency<br>You possess knowledge and experience in successfully implementing design patterns and developer principles such as SOLID, DRY, and KISS.<br><br>Languages<br>* Intermediate spoken and written English<br>* The interview will be conducted entirely in English<br><br>Nice to have<br>* Experience with AWS<br>* Human Resources Industry<br>* ML and AI<br><br>Working Conditions<br>* Core working hours: 9 AM - 1 PM EST (New York).<br>* Payments made once a month in USD.<br>* Local public holidays recognized.<br>* Two weeks of paid annual vacation."
Senior Full Stack Engineer (React/Vue+Python),"We are looking for a Senior Full Stack Engineer with expertise in either React or Vue.js and Python to join our innovative project.<br>Are you passionate about revolutionizing the medical records industry and making a significant impact on healthcare? If so, we have an exciting opportunity for you. <br><br>Our client project aims to modernize the way medical records are handled and transferred. We are addressing the issue of outdated and inefficient practices in patient data management, which often involve fax machines and can lead to lost or delayed information, unnecessary reordering of tests, and even malpractice claims. The solution is to digitize the transfer and release of patient data, providing a more reliable and secure method of handling this critical information. This digital approach is intended to improve patient outcomes by ensuring that all relevant health data is readily available when and where it’s needed.<br><br>Team Size and Structure:<br>It's a new project for our company, and we already have 1 DevOps and 1 Senior Full-Stack Developer, along with a part-time Project Manager. We are planning to hire one more strong engineer. Additionally, from the client’s side, there will be at least 10 very strong software engineers from the heart of software development and innovation in San Francisco. Communication and collaboration are key, and you will need to work during US hours (approximately 21:00-22:00 CET) to align with the client team.<br><br>Interview Stages:<br><br>1) Screening call (up to 20 min)<br>2) Interview with the Recruiter (up to 30 min.)<br>3) Technical interview on our side (up to 1-1:30 h)<br>4) Interview with the client<br><br>Requirements:<br><br>- 4+ years of working experience using Python<br>- 4+ years of experience with React or Vue.js<br>- Hands-on experience with Docker<br>- Experience with Django or Flask<br>- Knowledge of GraphQL or REST<br>- Proficiency in SQL and NoSQL databases<br>- An upper-intermediate level of English<br><br>Nice to Have:<br><br>- To be familiar with Celery/Workers<br><br>Responsibilities:<br><br>- Be ready to work with Research & Development tasks<br>- Be ready to work during American working hours<br>- Be ready to work using pair programming techniques<br>- Enforce best practices and improve test coverage<br>- Take part in requirements analysis, task planning, estimation, coding<br>- Suggest technical and functional improvements for the project<br>- Maintain close collaboration with other team members<br><br>We Offer:<br><br>- No screenshots, bureaucracy; time logging for accounting only. We trust you!<br>- Quality workstations, with a preference for Macbook<br>- Dynamic environment with a low level of bureaucracy<br>- Teambuildings, swag, corporate events, and a team you'll want to hang out with<br>- Education program ($100 per year for education)<br>- Mentorship program (get a mentor or become one)<br>- English Lessons with a 6-month review process (speaking and writing classes)<br>- Refunding certification expenses<br>- Corporate Udemy account for free courses<br>- 20 days of paid annual vacation<br>- 15 days of paid sick leave<br>- Possibility to use vacation during probation<br>- Days off on all Ukrainian government holidays<br>- Social package, including medical compensation, sports compensation, or psychological training sessions<br>- Overtime is not welcome, emphasizing work-life balance<br>- Salary paid in euros or dollars every first week of the month"
Senior Python Developer,"IvorySoft is a people-first software engineering and IT consulting company. We provide complex technological solutions for startups and businesses from the USA, UK, Nordic countries, and Canada.<br><br>To meet our ambitious goals, we are looking for a Senior Python Developer to join the growing team that helps to create clean energy solar and storage solutions for all.<br><br>🎯ABOUT THE PROJECT:<br>The customer is a leading US-based company specializing in large-scale clean electrification solutions for commercial, industrial, public sector, and community solar customers. Their comprehensive services encompass every stage of the process. From inception to operation, the company handles the origination, development, ownership, and operation of solar generation, energy storage, and electric vehicle charging infrastructure at local sites throughout the country.<br>❗️The project is under NDA ❗️<br>(details will be provided during a final call with the customer's team)<br><br>RESPONSIBILITIES:<br>👨‍💻Design, develop, and maintain complex software solutions using Python.<br>👨‍💻Write clean, scalable, and maintainable code.<br>👨‍💻Collaborate with cross-functional teams to define, design, and ship new features.<br>👨‍💻Perform code reviews and ensure adherence to coding standards.<br>👨‍💻Stay up-to-date with the latest technology trends and best practices.<br><br>REQUIREMENTS:<br>💻 4+ of experience in Python development.<br>💻Strong knowledge of Python, Django, and other related technologies.<br>💻Experience with database design and management.<br>💻Excellent problem-solving and analytical skills.<br>💻Strong communication skills and the ability to work in a team environment.<br>💻 Experience with github/ github Actions; Graphql; Cloudformation; AWS Lambda; AWS Cognito.<br>💻Experience with Agile methodologies is a plus."
Strong Junior Python Developer Outstaff,"Wht.agency - аутсорсингова ІТ компанія, що працює з 2018 року та спеціалізується на розробці веб-сайтів та програмного забезпечення для міжнародних клієнтів.<br><br><b>Зараз ми розширюємо відділ аутстаффінгу та шукаємо Strong Junior Python розробників для майбутньої взаємодії.</b><br><br><b>Приблизний пул обов'язків на проектах, може змінюватися в залежності від проекту:</b><br><br>Розробка та оптимізація бекенду веб-додатків на Python/Django.<br>Створення REST API на Python з використанням Django або Flask.<br>Інтеграція з базами даних (PostgreSQL, MongoDB тощо).<br>Написання Unit тестів та інтеграційних тестів.<br>Участь у code review та оптимізації існуючого коду.<br>Дотримання принципів чистого коду та патернів проектування.<br>Дебагінг та профілювання програм для оптимізації продуктивності.<br>Документування коду та API.<br>Співпраця з фронтенд розробниками над інтеграцією.<br>Дослідження та впровадження нових технологій і бібліотек.<br>Дотримання процесів контролю версій (Git).<br>Виконання завдань відповідно до вимог та термінів.<br><br>Який досвід та навички ми очікуємо:<br><br>1,5+ роки досвіду роботи з Python та веб-фреймворком (Django або Flask.<br>Досвід роботи з REST API, розуміння основ HTTP.<br>Досвід інтеграції з базами даних (SQL та/або NoSQL).<br>Вміння писати Unit тести та розуміння TDD.<br>Базові навички використання Git.<br>Знання принципів ООП, розуміння структур даних.<br>Аналітичне мислення, навички дебагінгу.<br>Гарне знання англійської мови (читання документації).<br>Вміння працювати в команді та брати відповідальність за свою частину проекту.<br>Відповідальне ставлення до написання чистого, читабельного коду."
Data Scientist,"You will be responsible for building models, strategies, and systems that price and trade a variety of financial instruments on multiple global markets. As a mix of trading and software developer roles, this work involves many things: analyzing large datasets, building and testing predictive models, assisting in all stages of a strategy lifecycle: from inception to scaling, and post-trade analysis. <br>Working in a small team environment, you will be exposed to some of the hardest problems in the industry. You will be evaluating and testing the latest and greatest hardware and software available.<br><br><b>Requirements</b><br>- Graduate degree in statistics, math, science, or another quantitative discipline.<br>- At least 3 years of experience in data analysis<br>- High level of proficiency in Python (NumPy, Pandas, Scikit-learn) programming.<br>- Experience with data visualization; data manipulation/data processing.<br>- Experience with SQL.<br>- Knowledge of basic Data Structures and Algorithms.<br>- Close attention to detail, ability to work to very high standards, strong analytical skills, and critical mindset.<br>- Fluent in English.<br>- Good communication and team skills.<br><br><b>Will be a +</b><br>- Experience with Linux, С++<br>- Genuine interest in finance and trading<br>- Knowledge of pricing of Financial Instruments (Stocks, ETFs, Futures, Options)<br>- Knowledge and understanding of supervised and unsupervised learning techniques<br>- Experience in working on qua"
Machine Learning Engineer,"We are looking for a Middle AI / Machine Learning Engineer to join our Ukrainian team to work with a USA company and help with the integration of back-office enterprise systems into the existing architecture.<br><br><b>REQUIREMENTS</b>:<br>·  	2+ years of experience in AI/ML or similar<br>·  	Solid experience in building machine learning models both in batch and in real-time.<br>·  	Data Science and Machine Learning experience with Python, <br>·  	Jupyter Notebooks, numpy/scipy, pandas, sci-kit-learn and Tensorflow/PyTorch<br>·  	In-depth knowledge of AI technologies, including natural language processing (NLP) and computer vision, using traditional techniques as well as deep learning<br>·  	Strong understanding of data engineering, database management, and cloud infrastructure.<br>·  	Experience with service development on AWS (Athena, S3, Lambda, Kinesis, Glue, SageMaker, Data Pipelines, Data Stores)<br>CI/CD experience<br>·  	Leading, and coaching our engineers on the team.<br>·  	Identify and fill team gaps and create the processes needed for teams to succeed.<br><br><br><b>OTHER NECESSARY SKILLS</b> :<br>·  	English B2-C2<br>·  	 Ability to optimize algorithms for real-time or low-latency execution, considering hardware constraints<br>·  	Deep knowledge of model training, optimization, and investigating best options for a case<br>·  	Experience in deploying AI models in production environments is a plus<br> <br> <br><b> PROJECT HIGHLIGHTS</b>:<br>·  	The application is in production<br>·  	The project utilizes development approaches such as code review, inherent quality, unit and integration testing, thorough automated end-to-end testing, continuous integration (CI), and releases as needed.<br>·  	Working in a distributed multinational team. The work schedule is from 10:00 AM to 7:00 PM EEST<br> <br><b>RESPONSIBILITIES</b>:<br>·  	Engaging and maintaining professional communication with the customer's team<br>·  	Assuming responsibility for delivering significant solution components<br>·  	Participating in the process of gathering and clarifying requirements, suggesting optimal architectural approaches, and leading the implementation of data architecture<br>·  	Creating fundamental modules and functions, devising solutions that can grow and remain cost-efficient<br>·  	Conducting code assessments, crafting both unit and integration tests Expanding the distributed system and infrastructure to the next level of scalability<br>·  	Assisting the client's research team in implementing, training, testing, and refining deep learning models<br>·  	Constructing AWS machine learning infrastructure to uphold and manage model training and serving<br>·  	Formulating reusable project templates for establishing MLOps infrastructure, enabling continuous integration and deployment of machine learning models<br>·  	Cooperating with the research team to pinpoint optimal models and explore open-source alternatives in language and signal processing for achieving the most favorable outcomes.<br><br><b>WHAT WE OFFER</b>:<br>- Small flexible team (1-10 people)<br>- Stable workplace<br>- Full remote<br>- 20 days of paid vacation<br>- 5 days of paid sick leave<br><br><b>ABOUT THE PROJECT</b>:<br>USA leader in the solutions of beverage management for restaurants and bars."
"Python Engineer (AsyncIO, FastAPI) for AI-NLP platform","Our backend is developed all in Python running in the cloud over k8s.<br>It's not a typical backend interacting with a UI frontend. It handles audio streams in real-time and runs our key AI algorithms.<br>The role involves designing and implementing complex parts of the backend. This involves distributed architecture as well as concurrency while taking into consideration performance and scale.<br><br>Requirements <br><br>5+ years experience in Python<br>Experience in SW design and backend development<br>Experience in developing and deploying multiple projects used in production<br>Experience with Docker, Kubernetes, Microservices, CI/CD, Clouds (AWS/GCP/Azure)<br>BSc in Computer Science or equivalent industry experience<br>Experience with Async IO and FastAPI<br>Qualities: Star performer, Team player, Fast, Strong ownership, Passionate about their work, Great communicator. For more details see What<br><br><br>will be plus: <br>Being an Architect with deep design experience.<br>Experience with gRPC, WebRTC.<br>Experience with Ansible."
Senior Python Developer,"Quintagroup is looking for Senior Python Developerr to join team of US based product. Technology stack: Python, Django, AWS<br><br><b>RESPONSIBILITIES:</b><br>- development with Python, Django, AWS<br>- participation in planning and execution stages<br><br><b>REQUIREMENTS</b><br>- 3+ years of experience with Python<br>- experience with AWS, Django<br>- desire to develop and share knowledge<br><br><b>Customer methodologies and tools</b><br>Scrum (2 week sprints)<br><br><b>Senior Python Developer - Project tech stack:</b><br>Python<br>Django<br>Django Rest Framework<br>AWS<br><br><br><b>WE OFFER:</b><br><br>a company with a specialization in Python development for the last 20 years<br>different domains of projects: FinTech, EdTech, GovTech, IoT, e-commerce, marketplaces, e-auctions, e-learning, public procurement, development of complex AWS based solutions<br>interesting tasks, possibilities for career and professional growth<br>friendly atmosphere and good working conditions<br>regular team-buildings and corporate parties<br>English classes<br>flexible working hours<br>experience with new technologies"
Python or Scala developer,"<b>Project Description:</b><br>They are based in Amsterdam and are a well-known big data consulting company. They specialize in AWS integration and have a strong foothold in big data and machine learning solutions. Their unique experience has made us the best Amazon partner in the Netherlands.<br><br><b>Project Details:</b><br>Location: The Netherlands<br>Technologies Utilized: AWS, Spark, Kafka, Python, Scala<br>Approach: Agile<br><br><b>Project advantages:</b><br>- They offer a secure environment for long-term initiatives. It's not just a 'family' cliché; it's about creating a supportive workplace together.<br>- They foster a trust-based culture that encourages independent work.<br>- The company is bootstrapped, profitable, and stands on a firm financial foundation.<br>- They are currently in an exhilarating stage of their organizational development.<br>- They provide top-tier AWS training and opportunities, rivaled only by Amazon itself.<br>- The company is shifting its focus, transitioning from 100% consultancy to an 80% emphasis on product development and a 20% focus on -Professional Services related to those products.<br>- They value and cultivate a spirit of collaboration over competition.<br><br><br><b>Requirements:</b><br>3+ years of hands-on experience with Python or Scala.<br>At least 2 years of familiarity with AWS and Spark.<br>A minimum of 1-year experience with Kafka.<br>Proficiency in English, upper-intermediate level or above."
